"1","1","Спасибо ! ","Спасибо!"
"2","1","**** дней ","5-6 дней"
"3","1","Отлично ! ждем посылку ! Сколько дней доставка ? ","Отлично!ждем посылку! Сколько дней доставка?"
"4","1","Здравствуйте , деньги получили ! ","Здравствуйте, деньги получили!"
"5","1","Деньги перевёл . проверте пожалуйста поступление . ","Деньги перевёл.проверте пожалуйста поступление."
"6","1","карта сбербанка **** **** **** **** **** М . **** с доставкой , ближайшая отправка завтра в **** часов по московскому времени ","карта сбербанка 5469 5200 1590 3412 Ольга Анатольевна М. 3750 с доставкой, ближайшая отправка завтра в 14 часов по московскому времени"
"7","1","Ставропольский край . г Ессентуки . ул Октябрьская **** кв16 . **** индекс . Курдус **** **** . **** **** . Если можно напишите номер Карты . я перешлю деньги сразу . спасибо большое ! ","Ставропольский край.г Ессентуки.ул Октябрьская 413 кв16. 357625 индекс.Курдус Юрий Петрович.89283478477. Если можно напишите номер Карты .я перешлю деньги сразу.спасибо большое!"
"8","1","Здравствуйте , да можно . Завтра отправим . Блуза **** + брюки **** + доставка **** , итого **** руб . Чтобы заказать напишите **** ) адрес и индекс **** ) фио получателя **** ) телефон Оплатить можно на почте при получении ( почта берет **** % от суммы за перевод денег ) . Либо на карту нам перед отправкой , тогда на почте оплачивать ничего не нужно будет . Как вам удобнее ? ","Здравствуйте, да можно .Завтра отправим. Блуза 1900+брюки 1550+доставка 300, итого 3750 руб . Чтобы заказать напишите

1) адрес и индекс
2) фио получателя
3) телефон
Оплатить можно на почте при получении (почта берет 5% от суммы за перевод денег). Либо на карту нам перед отправкой, тогда на почте оплачивать ничего не нужно будет. Как вам удобнее ?"
"9","1","Добрый день ! можно заказать муж блузу м67 , , кот в шляпе , , **** . вместе с белыми брюками . ","Добрый день!можно заказать муж блузу м67,,кот в шляпе,, 46р.вместе с белыми брюками."
"10","1","И халат **** р-ра ","И халат 42 р-ра"
"11","1","Добрый день . Хотела бы заказать такую блузу **** р-р и к ним брюки такого же цвета **** - р ","Добрый день. Хотела бы заказать такую блузу 42 р-р и к ним брюки такого же цвета 42р-р"
"12","1","А эта модель есть в наличии ? В данных расцветках ? Размер тот же ","А эта модель есть в наличии? В данных расцветках? Размер тот же"
"13","1","первая блуза есть **** из легкой ткани **** руб и **** размер есть из плотной ткани **** руб второй нет в наличии , брюки тоже есть из плотной **** руб и легкой ткани **** руб ","первая блуза есть 40 из легкой ткани 1620 руб и 42 размер есть из плотной ткани 1950 руб второй нет в наличии, брюки тоже есть из плотной 1480 руб и легкой ткани 1290 руб"
"14","1","Вот эти модели , в данном **** . Размер блуз **** ","Вот эти модели, в данном цвете. Размер блуз 40-42"
"15","1","Здравствуйте , да можно ! вам нужно все белого цвета ? ","Здравствуйте, да можно! вам нужно все белого цвета?"
"16","1","Здравствуйте **** . Можно ли заказать следующие модели : Блуза модель **** легкая ткань цена **** руб ( **** размер ) , Блуза мод **** Плотная ткань цена **** руб ( **** размер ) , Блуза м **** руб ( **** размер ) , брюки м **** ткань легкая **** руб . Спасибо . ","Здравствуйте Юлия. Можно ли заказать следующие модели:
Блуза модель 26
легкая ткань цена 1620 руб (40-42 размер), Блуза мод 241
Плотная ткань цена 1950 руб(40-42 размер), Блуза м 271
2400 руб(40-42 размер), брюки м 525
ткань легкая 1290 руб.
Спасибо."
"17","1","Спасибо ) ","Спасибо)"
"18","1","мы являемся производителями ) фирма Цветоформа https://vk.com/cvforma ","мы являемся производителями ) фирма Цветоформа https://vk.com/cvforma"
"19","1","Можете сказать фирму блузы ? ","Можете сказать фирму блузы?"
"20","1","не за что ) ждем Ваших заказов ) ","не за что) ждем Ваших заказов)"
"17","1","Спасибо ) ","Спасибо)"
"18","1","мы являемся производителями ) фирма Цветоформа https://vk.com/cvforma ","мы являемся производителями ) фирма Цветоформа https://vk.com/cvforma"
"19","1","Можете сказать фирму блузы ? ","Можете сказать фирму блузы?"
"20","1","не за что ) ждем Ваших заказов ) ","не за что) ждем Ваших заказов)"
